index,date,open,high,low,close,volume
0,"2007/02/01, 17:00:00",94.98,94.98,94.98,94.98,0.0
1,"2007/02/04, 17:00:00",95.005,95.005,95.005,95.005,0.0
2,"2007/02/05, 17:00:00",95.08,95.08,95.08,95.08,0.0
3,"2007/02/06, 17:00:00",95.1,95.1,95.1,95.1,0.0
4,"2007/02/07, 17:00:00",95.095,95.095,95.095,95.095,0.0
5,"2007/02/08, 17:00:00",95.02,95.02,95.02,95.02,0.0
6,"2007/02/11, 17:00:00",94.99,94.99,94.99,94.99,0.0
7,"2007/02/12, 17:00:00",94.975,94.975,94.975,94.975,0.0
8,"2007/02/13, 17:00:00",95.085,95.085,95.085,95.085,0.0
9,"2007/02/14, 17:00:00",95.14,95.14,95.14,95.14,0.0
10,"2007/02/15, 17:00:00",95.14,95.14,95.14,95.14,0.0
11,"2007/02/19, 17:00:00",95.155,95.155,95.155,95.155,0.0
12,"2007/02/20, 17:00:00",95.12,95.12,95.12,95.12,0.0
13,"2007/02/21, 17:00:00",95.065,95.065,95.065,95.065,0.0
14,"2007/02/22, 17:00:00",95.105,95.105,95.105,95.105,0.0
15,"2007/02/25, 17:00:00",95.15,95.15,95.15,95.15,0.0
16,"2007/02/26, 17:00:00",95.345,95.345,95.345,95.345,0.0
17,"2007/02/27, 17:00:00",95.32,95.32,95.32,95.32,0.0
18,"2007/02/28, 17:00:00",95.32,95.32,95.32,95.32,0.0
19,"2007/03/01, 17:00:00",95.385,95.385,95.385,95.385,0.0
20,"2007/03/04, 17:00:00",95.38,95.38,95.38,95.38,0.0
21,"2007/03/05, 17:00:00",95.38,95.38,95.38,95.38,0.0
22,"2007/03/06, 17:00:00",95.43,95.43,95.43,95.43,0.0
23,"2007/03/07, 17:00:00",95.405,95.405,95.405,95.405,0.0
24,"2007/03/08, 17:00:00",95.275,95.275,95.275,95.275,0.0
25,"2007/03/11, 17:00:00",95.295,95.295,95.295,95.295,0.0
26,"2007/03/12, 17:00:00",95.42,95.42,95.42,95.42,0.0
27,"2007/03/13, 17:00:00",95.395,95.395,95.395,95.395,0.0
28,"2007/03/14, 17:00:00",95.355,95.355,95.355,95.355,0.0
29,"2007/03/15, 17:00:00",95.325,95.325,95.325,95.325,0.0
30,"2007/03/18, 17:00:00",95.29,95.29,95.29,95.29,0.0
31,"2007/03/19, 17:00:00",95.31,95.31,95.31,95.31,0.0
32,"2007/03/20, 17:00:00",95.415,95.415,95.415,95.415,0.0
33,"2007/03/21, 17:00:00",95.35,95.35,95.35,95.35,0.0
34,"2007/03/22, 17:00:00",95.31,95.31,95.31,95.31,0.0
35,"2007/03/25, 17:00:00",95.33,95.33,95.33,95.33,0.0
36,"2007/03/26, 17:00:00",95.355,95.355,95.355,95.355,0.0
37,"2007/03/27, 17:00:00",95.355,95.355,95.355,95.355,0.0
38,"2007/03/28, 17:00:00",95.325,95.325,95.325,95.325,0.0
39,"2007/03/29, 17:00:00",95.315,95.315,95.315,95.315,0.0
40,"2007/04/01, 17:00:00",95.31,95.31,95.31,95.31,0.0
41,"2007/04/02, 17:00:00",95.275,95.275,95.275,95.275,0.0
42,"2007/04/03, 17:00:00",95.28,95.28,95.28,95.28,0.0
43,"2007/04/04, 17:00:00",95.26,95.26,95.26,95.26,0.0
44,"2007/04/05, 17:00:00",95.115,95.115,95.115,95.115,0.0
45,"2007/04/08, 17:00:00",95.1,95.1,95.1,95.1,0.0
46,"2007/04/09, 17:00:00",95.135,95.135,95.135,95.135,0.0
47,"2007/04/10, 17:00:00",95.125,95.125,95.125,95.125,0.0
48,"2007/04/11, 17:00:00",95.115,95.115,95.115,95.115,0.0
49,"2007/04/12, 17:00:00",95.185,95.185,95.185,95.185,0.0
50,"2007/04/15, 17:00:00",95.21,95.21,95.21,95.21,0.0
51,"2007/04/16, 17:00:00",95.305,95.305,95.305,95.305,0.0
52,"2007/04/17, 17:00:00",95.345,95.345,95.345,95.345,0.0
53,"2007/04/18, 17:00:00",95.345,95.345,95.345,95.345,0.0
54,"2007/04/19, 17:00:00",95.33,95.33,95.33,95.33,0.0
55,"2007/04/22, 17:00:00",95.345,95.345,95.345,95.345,0.0
56,"2007/04/23, 17:00:00",95.37,95.37,95.37,95.37,0.0
57,"2007/04/24, 17:00:00",95.345,95.345,95.345,95.345,0.0
58,"2007/04/25, 17:00:00",95.3,95.3,95.3,95.3,0.0
59,"2007/04/26, 17:00:00",95.275,95.275,95.275,95.275,0.0
60,"2007/04/29, 17:00:00",95.32,95.32,95.32,95.32,0.0
61,"2007/04/30, 17:00:00",95.275,95.275,95.275,95.275,0.0
62,"2007/05/01, 17:00:00",95.26,95.26,95.26,95.26,0.0
63,"2007/05/02, 17:00:00",95.21,95.21,95.21,95.21,0.0
64,"2007/05/03, 17:00:00",95.24,95.24,95.24,95.24,0.0
65,"2007/05/06, 17:00:00",95.235,95.235,95.235,95.235,0.0
66,"2007/05/07, 17:00:00",95.235,95.235,95.235,95.235,0.0
67,"2007/05/08, 17:00:00",95.195,95.195,95.195,95.195,0.0
68,"2007/05/09, 17:00:00",95.215,95.215,95.215,95.215,0.0
69,"2007/05/10, 17:00:00",95.195,95.195,95.195,95.195,0.0
70,"2007/05/13, 17:00:00",95.17,95.17,95.17,95.17,0.0
71,"2007/05/14, 17:00:00",95.155,95.155,95.155,95.155,0.0
72,"2007/05/15, 17:00:00",95.165,95.165,95.165,95.165,0.0
73,"2007/05/16, 17:00:00",95.11,95.11,95.11,95.11,0.0
74,"2007/05/17, 17:00:00",95.055,95.055,95.055,95.055,0.0
75,"2007/05/20, 17:00:00",95.065,95.065,95.065,95.065,0.0
76,"2007/05/21, 17:00:00",95.04,95.04,95.04,95.04,0.0
