index,date,open,high,low,close,volume
0,"2010/05/02, 17:00:00",97.96,97.96,97.96,97.96,0.0
1,"2010/05/03, 17:00:00",98.02,98.02,98.02,98.02,0.0
2,"2010/05/04, 17:00:00",98.105,98.105,98.105,98.105,0.0
3,"2010/05/05, 17:00:00",98.24,98.24,98.24,98.24,0.0
4,"2010/05/06, 17:00:00",98.325,98.45,98.325,98.38,219.0
5,"2010/05/09, 17:00:00",98.265,98.265,98.265,98.265,219.0
6,"2010/05/10, 17:00:00",98.295,98.295,98.28,98.285,478.0
7,"2010/05/11, 17:00:00",98.235,98.235,98.235,98.235,478.0
8,"2010/05/12, 17:00:00",98.285,98.315,98.28,98.31,602.0
9,"2010/05/13, 17:00:00",98.435,98.435,98.435,98.435,602.0
10,"2010/05/16, 17:00:00",98.44,98.44,98.44,98.44,602.0
11,"2010/05/17, 17:00:00",98.485,98.5,98.48,98.5,68.0
12,"2010/05/18, 17:00:00",98.495,98.495,98.495,98.495,68.0
13,"2010/05/19, 17:00:00",98.595,98.65,98.58,98.58,1239.0
14,"2010/05/20, 17:00:00",98.7,98.7,98.595,98.62,55.0
15,"2010/05/23, 17:00:00",98.62,98.65,98.59,98.59,22.0
16,"2010/05/24, 17:00:00",98.68,98.68,98.565,98.565,77.0
17,"2010/05/25, 17:00:00",98.47,98.47,98.47,98.47,77.0
18,"2010/05/26, 17:00:00",98.44,98.45,98.42,98.42,5.0
19,"2010/05/27, 17:00:00",98.51,98.51,98.51,98.51,5.0
20,"2010/05/30, 17:00:00",98.5,98.5,98.5,98.5,5.0
21,"2010/06/01, 17:00:00",98.475,98.485,98.46,98.46,3.0
22,"2010/06/02, 17:00:00",98.385,98.475,98.385,98.4,271.0
23,"2010/06/03, 17:00:00",98.53,98.57,98.52,98.57,32.0
24,"2010/06/06, 17:00:00",98.56,98.585,98.56,98.585,8.0
25,"2010/06/07, 17:00:00",98.61,98.61,98.58,98.58,1.0
26,"2010/06/08, 17:00:00",98.55,98.595,98.55,98.595,37.0
27,"2010/06/09, 17:00:00",98.565,98.565,98.54,98.54,1.0
28,"2010/06/10, 17:00:00",98.57,98.62,98.57,98.62,1.0
29,"2010/06/13, 17:00:00",98.605,98.64,98.605,98.615,13.0
30,"2010/06/14, 17:00:00",98.645,98.645,98.63,98.63,1.0
31,"2010/06/15, 17:00:00",98.66,98.675,98.655,98.675,14.0
32,"2010/06/16, 17:00:00",98.705,98.75,98.7,98.75,160.0
33,"2010/06/17, 17:00:00",98.72,98.765,98.72,98.765,7.0
34,"2010/06/20, 17:00:00",98.755,98.765,98.755,98.765,7.0
35,"2010/06/21, 17:00:00",98.835,98.835,98.835,98.835,7.0
36,"2010/06/22, 17:00:00",98.88,98.92,98.875,98.905,27.0
37,"2010/06/23, 17:00:00",98.89,98.89,98.89,98.89,27.0
38,"2010/06/24, 17:00:00",98.87,98.87,98.87,98.87,27.0
39,"2010/06/27, 17:00:00",98.94,98.94,98.94,98.94,27.0
40,"2010/06/28, 17:00:00",98.985,98.985,98.98,98.98,2.0
41,"2010/06/29, 17:00:00",98.965,98.965,98.965,98.965,2.0
42,"2010/06/30, 17:00:00",98.945,98.945,98.945,98.945,2.0
43,"2010/07/01, 17:00:00",98.915,98.915,98.91,98.91,2.0
44,"2010/07/04, 17:00:00",98.915,98.915,98.915,98.915,2.0
45,"2010/07/06, 17:00:00",98.985,98.985,98.945,98.945,15.0
46,"2010/07/07, 17:00:00",98.935,98.935,98.935,98.935,4.0
47,"2010/07/08, 17:00:00",98.895,98.895,98.895,98.895,4.0
48,"2010/07/11, 17:00:00",98.895,98.895,98.895,98.895,4.0
49,"2010/07/12, 17:00:00",98.88,98.9,98.85,98.89,308.0
50,"2010/07/13, 17:00:00",98.945,98.945,98.945,98.945,308.0
51,"2010/07/14, 17:00:00",99.025,99.035,99.0,99.0,121.0
52,"2010/07/15, 17:00:00",99.02,99.02,99.02,99.02,121.0
53,"2010/07/18, 17:00:00",99.04,99.04,99.04,99.04,121.0
54,"2010/07/19, 17:00:00",99.06,99.06,99.06,99.06,121.0
55,"2010/07/20, 17:00:00",99.12,99.12,99.08,99.08,2.0
56,"2010/07/21, 17:00:00",99.095,99.105,99.095,99.105,60.0
57,"2010/07/22, 17:00:00",99.04,99.04,99.04,99.04,60.0
58,"2010/07/25, 17:00:00",99.03,99.03,99.03,99.03,60.0
59,"2010/07/26, 17:00:00",98.97,98.995,98.97,98.97,14.0
60,"2010/07/27, 17:00:00",99.01,99.01,99.01,99.01,14.0
61,"2010/07/28, 17:00:00",99.05,99.055,99.05,99.055,1.0
62,"2010/07/29, 17:00:00",99.13,99.14,99.13,99.135,56.0
63,"2010/08/01, 17:00:00",99.12,99.125,99.12,99.12,15.0
