index,date,open,high,low,close,volume
0,"2018/05/13, 17:00:00",97.19,97.19,97.185,97.185,0.0
1,"2018/05/14, 17:00:00",97.155,97.155,97.155,97.155,0.0
2,"2018/05/15, 17:00:00",97.145,97.145,97.145,97.145,0.0
3,"2018/05/16, 17:00:00",97.13,97.13,97.13,97.13,0.0
4,"2018/05/17, 17:00:00",97.155,97.155,97.155,97.155,0.0
5,"2018/05/20, 17:00:00",97.14,97.14,97.14,97.14,0.0
6,"2018/05/21, 17:00:00",97.15,97.15,97.15,97.15,0.0
7,"2018/05/22, 17:00:00",97.2,97.2,97.2,97.2,0.0
8,"2018/05/23, 17:00:00",97.23,97.23,97.23,97.23,0.0
9,"2018/05/24, 17:00:00",97.26,97.26,97.26,97.26,0.0
10,"2018/05/27, 17:00:00",97.475,97.475,97.475,97.475,0.0
11,"2018/05/29, 17:00:00",97.38,97.38,97.38,97.38,0.0
12,"2018/05/30, 17:00:00",97.385,97.385,97.385,97.385,0.0
13,"2018/05/31, 17:00:00",97.315,97.315,97.315,97.315,0.0
14,"2018/06/03, 17:00:00",97.275,97.275,97.275,97.275,0.0
15,"2018/06/04, 17:00:00",97.295,97.295,97.295,97.295,0.0
16,"2018/06/05, 17:00:00",97.255,97.255,97.255,97.255,0.0
17,"2018/06/06, 17:00:00",97.265,97.265,97.265,97.265,0.0
18,"2018/06/07, 17:00:00",97.3,97.3,97.3,97.3,0.0
19,"2018/06/10, 17:00:00",97.29,97.29,97.29,97.29,0.0
20,"2018/06/11, 17:00:00",97.275,97.275,97.275,97.275,0.0
21,"2018/06/12, 17:00:00",97.24,97.24,97.24,97.24,0.0
22,"2018/06/13, 17:00:00",97.24,97.24,97.24,97.24,0.0
23,"2018/06/14, 17:00:00",97.255,97.255,97.255,97.255,0.0
24,"2018/06/17, 17:00:00",97.245,97.245,97.245,97.245,0.0
25,"2018/06/18, 17:00:00",97.275,97.275,97.275,97.275,0.0
26,"2018/06/19, 17:00:00",97.27,97.27,97.27,97.27,0.0
27,"2018/06/20, 17:00:00",97.28,97.28,97.28,97.28,0.0
28,"2018/06/21, 17:00:00",97.28,97.28,97.28,97.28,0.0
29,"2018/06/24, 17:00:00",97.31,97.31,97.31,97.31,0.0
30,"2018/06/25, 17:00:00",97.325,97.325,97.325,97.325,0.0
31,"2018/06/26, 17:00:00",97.37,97.37,97.37,97.37,0.0
32,"2018/06/27, 17:00:00",97.375,97.375,97.375,97.375,0.0
33,"2018/06/28, 17:00:00",97.37,97.37,97.37,97.37,0.0
34,"2018/07/01, 17:00:00",97.37,97.37,97.37,97.37,0.0
35,"2018/07/02, 17:00:00",97.375,97.375,97.375,97.375,0.0
36,"2018/07/03, 17:00:00",97.36,97.36,97.36,97.36,0.0
37,"2018/07/05, 17:00:00",97.38,97.38,97.38,97.38,0.0
38,"2018/07/08, 17:00:00",97.37,97.37,97.37,97.37,0.0
39,"2018/07/09, 17:00:00",97.36,97.36,97.36,97.36,0.0
40,"2018/07/10, 17:00:00",97.365,97.365,97.365,97.365,0.0
41,"2018/07/11, 17:00:00",97.36,97.36,97.36,97.36,0.0
42,"2018/07/12, 17:00:00",97.375,97.375,97.375,97.375,0.0
43,"2018/07/15, 17:00:00",97.365,97.365,97.365,97.365,0.0
44,"2018/07/16, 17:00:00",97.34,97.34,97.34,97.34,0.0
45,"2018/07/17, 17:00:00",97.335,97.335,97.335,97.335,0.0
46,"2018/07/18, 17:00:00",97.35,97.35,97.35,97.35,0.0
47,"2018/07/19, 17:00:00",97.345,97.345,97.345,97.345,0.0
48,"2018/07/22, 17:00:00",97.31,97.31,97.31,97.31,0.0
49,"2018/07/23, 17:00:00",97.3,97.3,97.3,97.3,0.0
50,"2018/07/24, 17:00:00",97.3,97.3,97.3,97.3,0.0
51,"2018/07/25, 17:00:00",97.255,97.255,97.255,97.255,0.0
52,"2018/07/26, 17:00:00",97.26,97.26,97.26,97.26,0.0
53,"2018/07/29, 17:00:00",97.26,97.26,97.26,97.26,0.0
54,"2018/07/30, 17:00:00",97.26,97.26,97.26,97.26,0.0
55,"2018/07/31, 17:00:00",97.255,97.255,97.255,97.255,0.0
56,"2018/08/01, 17:00:00",97.245,97.245,97.245,97.245,0.0
57,"2018/08/02, 17:00:00",97.255,97.255,97.255,97.255,80.0
58,"2018/08/05, 17:00:00",97.265,97.265,97.265,97.265,80.0
59,"2018/08/06, 17:00:00",97.26,97.26,97.26,97.26,0.0
60,"2018/08/07, 17:00:00",97.265,97.265,97.265,97.265,0.0
61,"2018/08/08, 17:00:00",97.28,97.28,97.28,97.28,220.0
62,"2018/08/09, 17:00:00",97.345,97.345,97.345,97.345,100.0
63,"2018/08/12, 17:00:00",97.34,97.34,97.34,97.34,25.0
64,"2018/08/13, 17:00:00",97.315,97.315,97.315,97.315,150.0
65,"2018/08/14, 17:00:00",97.35,97.35,97.35,97.35,25.0
66,"2018/08/15, 17:00:00",97.33,97.33,97.33,97.33,0.0
67,"2018/08/16, 17:00:00",97.335,97.335,97.335,97.335,50.0
68,"2018/08/19, 17:00:00",97.36,97.36,97.36,97.36,0.0
69,"2018/08/20, 17:00:00",97.35,97.35,97.35,97.35,850.0
70,"2018/08/21, 17:00:00",97.36,97.36,97.36,97.36,238.0
71,"2018/08/22, 17:00:00",97.34,97.34,97.34,97.34,0.0
72,"2018/08/23, 17:00:00",97.35,97.35,97.34,97.34,1.0
73,"2018/08/26, 17:00:00",97.32,97.32,97.32,97.32,0.0
74,"2018/08/27, 17:00:00",97.305,97.305,97.305,97.305,0.0
75,"2018/08/28, 17:00:00",97.29,97.29,97.29,97.29,120.0
76,"2018/08/29, 17:00:00",97.3,97.3,97.3,97.3,175.0
77,"2018/08/30, 17:00:00",97.33,97.33,97.33,97.33,0.0
78,"2018/09/02, 17:00:00",97.31,97.31,97.31,97.31,139.0
79,"2018/09/04, 17:00:00",97.305,97.305,97.305,97.305,55.0
80,"2018/09/05, 17:00:00",97.32,97.32,97.32,97.32,0.0
81,"2018/09/06, 17:00:00",97.26,97.26,97.26,97.26,0.0
82,"2018/09/09, 17:00:00",97.26,97.26,97.26,97.26,0.0
83,"2018/09/10, 17:00:00",97.21,97.21,97.21,97.21,4.0
84,"2018/09/11, 17:00:00",97.21,97.21,97.21,97.21,0.0
85,"2018/09/12, 17:00:00",97.185,97.185,97.185,97.185,0.0
86,"2018/09/13, 17:00:00",97.15,97.15,97.15,97.15,0.0
87,"2018/09/16, 17:00:00",97.15,97.15,97.15,97.15,104.0
88,"2018/09/17, 17:00:00",97.12,97.12,97.12,97.12,149.0
89,"2018/09/18, 17:00:00",97.095,97.095,97.095,97.095,285.0
90,"2018/09/19, 17:00:00",97.075,97.075,97.075,97.075,0.0
91,"2018/09/20, 17:00:00",97.085,97.085,97.085,97.085,0.0
92,"2018/09/23, 17:00:00",97.08,97.08,97.08,97.08,268.0
93,"2018/09/24, 17:00:00",97.065,97.065,97.065,97.065,997.0
94,"2018/09/25, 17:00:00",97.075,97.075,97.075,97.075,283.0
95,"2018/09/26, 17:00:00",97.075,97.075,97.075,97.075,292.0
96,"2018/09/27, 17:00:00",97.095,97.095,97.095,97.095,1726.0
97,"2018/09/30, 17:00:00",97.09,97.09,97.09,97.09,929.0
98,"2018/10/01, 17:00:00",97.11,97.11,97.1,97.1,276.0
99,"2018/10/02, 17:00:00",97.05,97.05,97.05,97.05,1258.0
100,"2018/10/03, 17:00:00",97.015,97.015,97.015,97.015,857.0
101,"2018/10/04, 17:00:00",96.99,96.99,96.99,96.99,2445.0
102,"2018/10/07, 17:00:00",96.985,96.985,96.985,96.985,249.0
103,"2018/10/08, 17:00:00",96.99,96.99,96.98,96.98,1814.0
104,"2018/10/09, 17:00:00",96.99,96.99,96.99,96.99,2247.0
105,"2018/10/10, 17:00:00",97.04,97.04,97.04,97.04,1322.0
106,"2018/10/11, 17:00:00",97.06,97.06,97.06,97.06,1436.0
107,"2018/10/14, 17:00:00",97.055,97.055,97.05,97.05,662.0
108,"2018/10/15, 17:00:00",97.04,97.045,97.04,97.045,916.0
109,"2018/10/16, 17:00:00",97.045,97.055,97.045,97.045,1353.0
110,"2018/10/17, 17:00:00",97.02,97.055,97.02,97.055,1616.0
111,"2018/10/18, 17:00:00",97.035,97.035,97.035,97.035,2474.0
112,"2018/10/21, 17:00:00",97.04,97.04,97.04,97.04,521.0
113,"2018/10/22, 17:00:00",97.075,97.075,97.075,97.075,630.0
114,"2018/10/23, 17:00:00",97.105,97.105,97.105,97.105,56.0
115,"2018/10/24, 17:00:00",97.115,97.12,97.105,97.105,534.0
116,"2018/10/25, 17:00:00",97.17,97.185,97.17,97.175,1155.0
117,"2018/10/28, 17:00:00",97.155,97.17,97.15,97.17,361.0
118,"2018/10/29, 17:00:00",97.17,97.17,97.17,97.17,199.0
119,"2018/10/30, 17:00:00",97.135,97.135,97.135,97.135,318.0
120,"2018/10/31, 17:00:00",97.145,97.145,97.145,97.145,322.0
121,"2018/11/01, 17:00:00",97.14,97.14,97.09,97.1,4205.0
122,"2018/11/04, 17:00:00",97.095,97.095,97.095,97.095,371.0
123,"2018/11/05, 17:00:00",97.085,97.085,97.085,97.085,1352.0
124,"2018/11/06, 17:00:00",97.075,97.075,97.075,97.075,1111.0
125,"2018/11/07, 17:00:00",97.07,97.07,97.04,97.04,2307.0
126,"2018/11/08, 17:00:00",97.065,97.07,97.055,97.055,1439.0
127,"2018/11/11, 17:00:00",97.075,97.075,97.075,97.075,75.0
128,"2018/11/12, 17:00:00",97.105,97.105,97.095,97.095,338.0
129,"2018/11/13, 17:00:00",97.15,97.15,97.15,97.15,1216.0
130,"2018/11/14, 17:00:00",97.16,97.16,97.16,97.16,481.0
131,"2018/11/15, 17:00:00",97.225,97.225,97.21,97.21,4478.0
132,"2018/11/18, 17:00:00",97.245,97.245,97.245,97.245,3197.0
133,"2018/11/19, 17:00:00",97.24,97.24,97.24,97.24,2094.0
134,"2018/11/20, 17:00:00",97.24,97.24,97.235,97.24,3020.0
135,"2018/11/21, 17:00:00",97.26,97.26,97.24,97.24,5442.0
136,"2018/11/25, 17:00:00",97.24,97.24,97.23,97.23,654.0
137,"2018/11/26, 17:00:00",97.25,97.26,97.245,97.245,765.0
138,"2018/11/27, 17:00:00",97.25,97.28,97.25,97.28,918.0
139,"2018/11/28, 17:00:00",97.32,97.32,97.285,97.285,358.0
140,"2018/11/29, 17:00:00",97.29,97.29,97.29,97.29,102.0
141,"2018/12/02, 17:00:00",97.27,97.27,97.27,97.27,466.0
142,"2018/12/03, 17:00:00",97.28,97.315,97.28,97.3,197.0
143,"2018/12/04, 17:00:00",97.3,97.3,97.3,97.3,0.0
144,"2018/12/05, 17:00:00",97.405,97.435,97.405,97.405,2649.0
145,"2018/12/06, 17:00:00",97.42,97.455,97.42,97.445,370.0
146,"2018/12/09, 17:00:00",97.465,97.51,97.46,97.48,4111.0
147,"2018/12/10, 17:00:00",97.445,97.445,97.44,97.44,1747.0
148,"2018/12/11, 17:00:00",97.405,97.405,97.395,97.405,1377.0
149,"2018/12/12, 17:00:00",97.405,97.405,97.4,97.4,2800.0
150,"2018/12/13, 17:00:00",97.42,97.435,97.42,97.43,1068.0
151,"2018/12/16, 17:00:00",97.455,97.475,97.455,97.465,2395.0
152,"2018/12/17, 17:00:00",97.515,97.515,97.515,97.515,1098.0
153,"2018/12/18, 17:00:00",97.535,97.535,97.52,97.52,920.0
154,"2018/12/19, 17:00:00",97.56,97.56,97.525,97.525,1445.0
155,"2018/12/20, 17:00:00",97.57,97.57,97.56,97.56,212.0
156,"2018/12/23, 17:00:00",97.62,97.62,97.62,97.62,1.0
157,"2018/12/25, 17:00:00",97.645,97.645,97.645,97.645,339.0
158,"2018/12/26, 17:00:00",97.7,97.7,97.7,97.7,741.0
159,"2018/12/27, 17:00:00",97.675,97.71,97.675,97.71,8015.0
160,"2018/12/30, 17:00:00",97.725,97.725,97.715,97.715,1469.0
161,"2019/01/01, 17:00:00",97.705,97.735,97.705,97.705,334.0
162,"2019/01/02, 17:00:00",97.755,97.89,97.755,97.89,992.0
163,"2019/01/03, 17:00:00",97.83,97.83,97.825,97.825,818.0
164,"2019/01/06, 17:00:00",97.78,97.78,97.78,97.78,3498.0
165,"2019/01/07, 17:00:00",97.71,97.71,97.71,97.71,2008.0
166,"2019/01/08, 17:00:00",97.715,97.715,97.715,97.715,3299.0
167,"2019/01/09, 17:00:00",97.71,97.71,97.71,97.71,4461.0
168,"2019/01/10, 17:00:00",97.72,97.725,97.715,97.725,7882.0
169,"2019/01/13, 17:00:00",97.72,97.72,97.72,97.72,856.0
170,"2019/01/14, 17:00:00",97.73,97.73,97.73,97.73,11881.0
171,"2019/01/15, 17:00:00",97.69,97.705,97.69,97.705,1620.0
172,"2019/01/16, 17:00:00",97.665,97.675,97.665,97.675,246.0
173,"2019/01/17, 17:00:00",97.605,97.605,97.605,97.605,1772.0
174,"2019/01/20, 17:00:00",97.645,97.645,97.64,97.645,6835.0
175,"2019/01/22, 17:00:00",97.63,97.64,97.625,97.64,4191.0
176,"2019/01/23, 17:00:00",97.625,97.65,97.625,97.65,3819.0
177,"2019/01/24, 17:00:00",97.625,97.625,97.625,97.625,2162.0
178,"2019/01/27, 17:00:00",97.62,97.64,97.62,97.635,37.0
179,"2019/01/28, 17:00:00",97.64,97.64,97.64,97.64,980.0
180,"2019/01/29, 17:00:00",97.685,97.685,97.685,97.685,2823.0
181,"2019/01/30, 17:00:00",97.755,97.755,97.755,97.755,593.0
182,"2019/01/31, 17:00:00",97.73,97.735,97.73,97.73,7792.0
183,"2019/02/03, 17:00:00",97.7,97.71,97.7,97.71,6812.0
184,"2019/02/04, 17:00:00",97.715,97.715,97.715,97.715,1076.0
185,"2019/02/05, 17:00:00",97.725,97.725,97.725,97.725,4366.0
186,"2019/02/06, 17:00:00",97.775,97.775,97.775,97.775,1054.0
187,"2019/02/07, 17:00:00",97.79,97.805,97.79,97.805,3009.0
188,"2019/02/10, 17:00:00",97.775,97.78,97.775,97.78,1844.0
189,"2019/02/11, 17:00:00",97.75,97.75,97.745,97.75,1489.0
190,"2019/02/12, 17:00:00",97.735,97.735,97.69,97.69,2291.0
191,"2019/02/13, 17:00:00",97.71,97.76,97.695,97.73,5091.0
192,"2019/02/14, 17:00:00",97.72,97.72,97.72,97.72,4248.0
193,"2019/02/17, 17:00:00",97.735,97.735,97.735,97.735,5339.0
194,"2019/02/19, 17:00:00",97.74,97.74,97.74,97.74,13546.0
195,"2019/02/20, 17:00:00",97.7,97.7,97.7,97.7,2641.0
196,"2019/02/21, 17:00:00",97.7,97.75,97.7,97.745,6766.0
197,"2019/02/24, 17:00:00",97.73,97.74,97.73,97.74,2013.0
198,"2019/02/25, 17:00:00",97.775,97.775,97.765,97.765,9999.0
199,"2019/02/26, 17:00:00",97.77,97.78,97.74,97.74,4662.0
200,"2019/02/27, 17:00:00",97.72,97.72,97.72,97.72,12689.0
201,"2019/02/28, 17:00:00",97.665,97.665,97.65,97.65,7804.0
202,"2019/03/03, 17:00:00",97.66,97.66,97.66,97.66,1136.0
203,"2019/03/04, 17:00:00",97.655,97.655,97.655,97.655,9468.0
204,"2019/03/05, 17:00:00",97.66,97.705,97.66,97.69,2553.0
205,"2019/03/06, 17:00:00",97.725,97.76,97.725,97.76,13681.0
206,"2019/03/07, 17:00:00",97.77,97.77,97.77,97.77,1157.0
207,"2019/03/10, 17:00:00",97.76,97.76,97.76,97.76,2162.0
208,"2019/03/11, 17:00:00",97.78,97.79,97.78,97.79,7807.0
209,"2019/03/12, 17:00:00",97.79,97.795,97.79,97.795,4382.0
210,"2019/03/13, 17:00:00",97.775,97.79,97.775,97.79,2089.0
211,"2019/03/14, 17:00:00",97.825,97.825,97.815,97.82,12902.0
212,"2019/03/17, 17:00:00",97.815,97.815,97.815,97.815,987.0
213,"2019/03/18, 17:00:00",97.81,97.81,97.795,97.8,1716.0
214,"2019/03/19, 17:00:00",97.815,97.92,97.815,97.885,13403.0
215,"2019/03/20, 17:00:00",97.925,97.94,97.9,97.9,12215.0
216,"2019/03/21, 17:00:00",97.98,98.045,97.97,98.03,19037.0
217,"2019/03/24, 17:00:00",98.035,98.19,98.035,98.15,5873.0
218,"2019/03/25, 17:00:00",98.1,98.125,98.1,98.12,4619.0
219,"2019/03/26, 17:00:00",98.16,98.23,98.16,98.18,2370.0
220,"2019/03/27, 17:00:00",98.185,98.19,98.12,98.155,380.0
221,"2019/03/28, 17:00:00",98.08,98.09,98.08,98.08,3133.0
222,"2019/03/31, 17:00:00",98.0,98.0,98.0,98.0,1486.0
223,"2019/04/01, 17:00:00",98.01,98.01,98.01,98.01,6032.0
224,"2019/04/02, 17:00:00",97.98,97.99,97.97,97.99,6553.0
225,"2019/04/03, 17:00:00",97.975,97.98,97.975,97.98,5861.0
226,"2019/04/04, 17:00:00",97.95,97.975,97.95,97.97,5357.0
227,"2019/04/07, 17:00:00",97.98,97.985,97.96,97.96,4009.0
228,"2019/04/08, 17:00:00",97.975,97.985,97.975,97.98,1395.0
229,"2019/04/09, 17:00:00",97.99,98.03,97.99,98.01,11895.0
230,"2019/04/10, 17:00:00",98.0,98.0,97.97,97.975,7514.0
231,"2019/04/11, 17:00:00",97.905,97.915,97.9,97.905,8051.0
232,"2019/04/14, 17:00:00",97.9,97.91,97.9,97.91,5672.0
233,"2019/04/15, 17:00:00",97.9,97.9,97.88,97.88,5205.0
234,"2019/04/16, 17:00:00",97.865,97.89,97.86,97.89,440.0
235,"2019/04/17, 17:00:00",97.915,97.92,97.9,97.91,5850.0
236,"2019/04/21, 17:00:00",97.92,97.92,97.91,97.92,370.0
237,"2019/04/22, 17:00:00",97.92,97.94,97.92,97.94,5141.0
238,"2019/04/23, 17:00:00",97.99,97.99,97.99,97.99,440.0
239,"2019/04/24, 17:00:00",97.975,97.975,97.975,97.975,5675.0
240,"2019/04/25, 17:00:00",97.975,98.02,97.975,98.02,247.0
241,"2019/04/28, 17:00:00",98.01,98.015,98.01,98.015,2603.0
242,"2019/04/29, 17:00:00",98.045,98.045,98.045,98.045,518.0
243,"2019/04/30, 17:00:00",98.035,98.045,98.005,98.005,3036.0
244,"2019/05/01, 17:00:00",97.96,97.96,97.94,97.94,10524.0
245,"2019/05/02, 17:00:00",97.93,97.96,97.93,97.945,13875.0
246,"2019/05/05, 17:00:00",97.985,97.985,97.985,97.985,4489.0
247,"2019/05/06, 17:00:00",98.02,98.025,98.01,98.025,1927.0
248,"2019/05/07, 17:00:00",98.04,98.04,98.005,98.005,5535.0
249,"2019/05/08, 17:00:00",98.055,98.065,98.035,98.04,1965.0
250,"2019/05/09, 17:00:00",98.045,98.075,98.045,98.055,3486.0
251,"2019/05/12, 17:00:00",98.1,98.165,98.1,98.145,20581.0
252,"2019/05/13, 17:00:00",98.15,98.15,98.14,98.14,825.0
253,"2019/05/14, 17:00:00",98.2,98.24,98.19,98.195,4551.0
254,"2019/05/15, 17:00:00",98.145,98.16,98.145,98.15,1551.0
255,"2019/05/16, 17:00:00",98.17,98.17,98.155,98.155,1817.0
256,"2019/05/19, 17:00:00",98.165,98.175,98.135,98.135,5757.0
257,"2019/05/20, 17:00:00",98.11,98.11,98.1,98.1,1608.0
258,"2019/05/21, 17:00:00",98.11,98.135,98.11,98.13,5553.0
259,"2019/05/22, 17:00:00",98.215,98.265,98.215,98.265,10430.0
260,"2019/05/23, 17:00:00",98.24,98.255,98.235,98.235,4834.0
261,"2019/05/26, 17:00:00",98.265,98.295,98.265,98.295,8404.0
262,"2019/05/28, 17:00:00",98.34,98.365,98.335,98.335,3261.0
263,"2019/05/29, 17:00:00",98.295,98.33,98.295,98.33,1743.0
264,"2019/05/30, 17:00:00",98.42,98.48,98.415,98.48,964.0
265,"2019/06/02, 17:00:00",98.535,98.615,98.525,98.6,5630.0
266,"2019/06/03, 17:00:00",98.54,98.555,98.49,98.555,8584.0
