index,date,open,high,low,close,volume
0,"2018/05/13, 17:00:00",97.155,97.155,97.15,97.15,0.0
1,"2018/05/14, 17:00:00",97.12,97.12,97.12,97.12,0.0
2,"2018/05/15, 17:00:00",97.11,97.11,97.11,97.11,0.0
3,"2018/05/16, 17:00:00",97.095,97.095,97.095,97.095,0.0
4,"2018/05/17, 17:00:00",97.12,97.12,97.12,97.12,0.0
5,"2018/05/20, 17:00:00",97.105,97.105,97.105,97.105,0.0
6,"2018/05/21, 17:00:00",97.115,97.115,97.115,97.115,0.0
7,"2018/05/22, 17:00:00",97.165,97.165,97.165,97.165,0.0
8,"2018/05/23, 17:00:00",97.195,97.195,97.195,97.195,0.0
9,"2018/05/24, 17:00:00",97.225,97.225,97.225,97.225,0.0
10,"2018/05/27, 17:00:00",97.44,97.44,97.44,97.44,0.0
11,"2018/05/29, 17:00:00",97.345,97.345,97.345,97.345,0.0
12,"2018/05/30, 17:00:00",97.35,97.35,97.35,97.35,0.0
13,"2018/05/31, 17:00:00",97.28,97.28,97.28,97.28,0.0
14,"2018/06/03, 17:00:00",97.24,97.24,97.24,97.24,0.0
15,"2018/06/04, 17:00:00",97.26,97.26,97.26,97.26,0.0
16,"2018/06/05, 17:00:00",97.22,97.22,97.22,97.22,0.0
17,"2018/06/06, 17:00:00",97.23,97.23,97.23,97.23,0.0
18,"2018/06/07, 17:00:00",97.265,97.265,97.265,97.265,0.0
19,"2018/06/10, 17:00:00",97.255,97.255,97.255,97.255,0.0
20,"2018/06/11, 17:00:00",97.24,97.24,97.24,97.24,0.0
21,"2018/06/12, 17:00:00",97.205,97.205,97.205,97.205,0.0
22,"2018/06/13, 17:00:00",97.205,97.205,97.205,97.205,0.0
23,"2018/06/14, 17:00:00",97.22,97.22,97.22,97.22,0.0
24,"2018/06/17, 17:00:00",97.21,97.21,97.21,97.21,0.0
25,"2018/06/18, 17:00:00",97.24,97.24,97.24,97.24,0.0
26,"2018/06/19, 17:00:00",97.235,97.235,97.235,97.235,0.0
27,"2018/06/20, 17:00:00",97.245,97.245,97.245,97.245,0.0
28,"2018/06/21, 17:00:00",97.245,97.245,97.245,97.245,0.0
29,"2018/06/24, 17:00:00",97.275,97.275,97.275,97.275,0.0
30,"2018/06/25, 17:00:00",97.29,97.29,97.29,97.29,0.0
31,"2018/06/26, 17:00:00",97.335,97.335,97.335,97.335,0.0
32,"2018/06/27, 17:00:00",97.34,97.34,97.34,97.34,0.0
33,"2018/06/28, 17:00:00",97.335,97.335,97.335,97.335,0.0
34,"2018/07/01, 17:00:00",97.335,97.335,97.335,97.335,0.0
35,"2018/07/02, 17:00:00",97.34,97.34,97.34,97.34,0.0
36,"2018/07/03, 17:00:00",97.325,97.325,97.325,97.325,0.0
37,"2018/07/05, 17:00:00",97.345,97.345,97.345,97.345,0.0
38,"2018/07/08, 17:00:00",97.335,97.335,97.335,97.335,0.0
39,"2018/07/09, 17:00:00",97.325,97.325,97.325,97.325,0.0
40,"2018/07/10, 17:00:00",97.33,97.33,97.33,97.33,0.0
41,"2018/07/11, 17:00:00",97.325,97.325,97.325,97.325,0.0
42,"2018/07/12, 17:00:00",97.34,97.34,97.34,97.34,0.0
43,"2018/07/15, 17:00:00",97.33,97.33,97.33,97.33,0.0
44,"2018/07/16, 17:00:00",97.305,97.305,97.305,97.305,0.0
45,"2018/07/17, 17:00:00",97.3,97.3,97.3,97.3,0.0
46,"2018/07/18, 17:00:00",97.315,97.315,97.315,97.315,0.0
47,"2018/07/19, 17:00:00",97.31,97.31,97.31,97.31,0.0
48,"2018/07/22, 17:00:00",97.275,97.275,97.275,97.275,0.0
49,"2018/07/23, 17:00:00",97.265,97.265,97.265,97.265,0.0
50,"2018/07/24, 17:00:00",97.265,97.265,97.265,97.265,0.0
51,"2018/07/25, 17:00:00",97.22,97.22,97.22,97.22,0.0
52,"2018/07/26, 17:00:00",97.225,97.225,97.225,97.225,0.0
53,"2018/07/29, 17:00:00",97.235,97.235,97.235,97.235,0.0
54,"2018/07/30, 17:00:00",97.235,97.235,97.235,97.235,0.0
55,"2018/07/31, 17:00:00",97.23,97.23,97.23,97.23,0.0
56,"2018/08/01, 17:00:00",97.22,97.22,97.22,97.22,0.0
57,"2018/08/02, 17:00:00",97.23,97.23,97.23,97.23,0.0
58,"2018/08/05, 17:00:00",97.24,97.24,97.24,97.24,0.0
59,"2018/08/06, 17:00:00",97.235,97.235,97.235,97.235,0.0
